0.12	44	192	192	0.00	0.00	0.00	0.00	47.00	95.00	1.00	0.00	0.00	SF	0	0	0
15.21	49	2623	1596	2.00	1.00	0.00	0.60	5.00	24.00	0.00	0.00	0.00	RSTO	23179(1)	0	342(1)
3.90	8	2225	167	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
6.70	8	2200	245	1.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
0.00	49	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
3.90	8	4315	245	1.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
3.07	8	2339	245	1.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	S0	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	S0	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
4.89	8	4337	245	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	3.00	0.00	0.00	1.00	S0	0	0	0
0.00	13	0	0	0.00	0.00	0.00	0.00	0.00	8.00	0.00	0.00	0.00	RSTRH	0	0	0
3.99	8	2311	245	1.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
4.79	8	2296	245	2.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
10.35	8	0	0	3.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
3.28	8	2247	167	4.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
3.42	8	2324	245	5.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
0.00	49	0	0	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	REJ	0	0	0
3.25	8	2318	245	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
4.11	8	2220	167	1.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
29.65	8	2274	245	2.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
0.00	49	0	0	1.00	1.00	0.00	0.00	1.00	4.00	1.00	0.00	0.00	REJ	0	0	0
0.00	49	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	SH	0	0	0
0.00	49	0	0	2.00	1.00	0.00	0.00	2.00	5.00	1.00	0.00	0.00	REJ	0	0	0
17.31	8	8258	551	3.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
0.00	49	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
2.17	8	2288	245	4.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
2.27	8	2470	308	5.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
2.30	8	2443	308	6.00	1.00	0.00	0.00	1.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
7.55	49	128	219	0.00	0.00	0.00	0.00	6.00	24.00	0.00	0.00	0.00	SF	0	0	0
0.00	49	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
0.00	49	0	0	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
3.66	8	2168	236	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	2.00	0.00	0.00	1.00	S0	0	0	0
0.00	49	0	0	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	S0	0	0	0
6.43	8	4313	245	1.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	RSTO	0	0	0
21.59	8	2235	184	2.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
4.45	8	2308	245	3.00	1.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	SF	0	0	0
